threshold,precision,recall,f1_score
0.1,0.21443446433454638,1.0,0.35314291652954116
0.2,0.22983732974378865,0.9882283696291937,0.37293845441925033
0.3,0.2600332133960698,0.921620561114381,0.40562127622830496
0.4,0.29963361990786086,0.8102805571905042,0.4374884139720876
0.5,0.3441705731135642,0.6698057680988817,0.45469983018679455
0.6,0.3947699073346945,0.4931332156170296,0.43850314026517795
0.7,0.4616002570694087,0.28183245046105554,0.34998172737239613
0.8,0.610875106202209,0.07053168530508142,0.12646205258992174
0.9,0.0,0.0,0.0
1.0,0.0,0.0,0.0
